Nom_commune;Code_postal
GILLANCOURT;52330
GILLAUME;52230
GILLEY;52500
GRAFFIGNY CHEMIN;52150
GRENANT;52500
GUINDRECOURT AUX ORMES;52300
HACOURT;52150
HARREVILLE LES CHANTEURS;52150
HAUTE AMANCE;52600
HUMES JORQUENAY;52200
IS EN BASSIGNY;52140
JONCHERY;52000
LANEUVILLE AU PONT;52100
LANGRES;52200
LA CHAPELLE D AUREC;43120
CHAZELLES;43300
CHENEREILLES;43190
CISTRIERES;43160
COHADE;43100
COUTEUGES;43230
DUNIERES;43220
FERRUSSAC;43300
FIX ST GENEYS;43320
FRUGERES LES MINES;43250
LAFARRE;43490
LANDOS;43340
LANGEAC;43300
LAVAL SUR DOULON;43440
LAVOUTE CHILHAC;43380
LEOTOING;43410
LORLANGES;43360
LOUDES;43320
MALVALETTE;43210
MAZEYRAT D ALLIER;43300
MONISTROL SUR LOIRE;43120
LE PERTUIS;43200
ST BERAIN;43300
STE FLORINE;43250
ST GERMAIN LAPRADE;43700
ST GERON;43360
STE MARGUERITE;43230
ST MARTIN DE FUGERES;43150
ST PIERRE EYNAC;43260
ST PREJET ARMANDON;43230
ST PREJET D ALLIER;43580
ST VICTOR SUR ARLANC;43500
SALZUIT;43230
SANSSAC L EGLISE;43320
SIAUGUES STE MARIE;43300
TAILHAC;43300
VALS LE CHASTEL;43230
LES VASTRES;43430
VENTEUGES;43170
VERGONGHEON;43360
VIEILLE BRIOUDE;43100
VOREY;43800
ABBARETZ;44170
ANCENIS;44150
CHAUMES EN RETZ;44680
BESNE;44160
BOUEE;44260
VILLENEUVE EN RETZ;44580
CASSON;44390
LE CELLIER;44850
LA CHAPELLE DES MARAIS;44410
LA CHAPELLE LAUNAY;44260
LA CHEVROLIERE;44118
CLISSON;44190
CROSSAC;44160
FEGREAC;44460
FROSSAY;44320
GETIGNE;44190
GRANDCHAMPS DES FONTAINES;44119
GUERANDE;44350
INDRE;44610
LE LANDREAU;44430
MACHECOUL ST MEME;44270
MASSERAC;44290
MAUVES SUR LOIRE;44470
MONNIERES;44690
MONTBERT;44140
MOUAIS;44590
LES MOUTIERS EN RETZ;44760
NANTES;44300
NOZAY;44170
PETIT AUVERNE;44670
PETIT MARS;44390
PORNIC;44210
PREFAILLES;44770
PRINQUIAU;44260
PUCEUL;44390
ST BREVIN LES PINS;44250
CORCOUE SUR LOGNE;44650
ST HERBLAIN;44800
ST JOACHIM;44720
ST LUMINE DE CLISSON;44190
ST LUMINE DE COUTAIS;44310
ST LYPHARD;44410
ST NAZAIRE;44600
SEVERAC;44530
SOULVACHE;44660
THOUARE SUR LOIRE;44470
LA TURBALLE;44420
LOIREAUXENCE;44370
VILLEPOT;44110
VRITZ;44540
ADON;45230
ASCHERES LE MARCHE;45170
BELLEGARDE;45270
BOESSES;45390
BONNY SUR LOIRE;45420
BOUGY LEZ NEUVILLE;45170
CHANGY;42310
CHAVANAY;42410
CHERIER;42430
CHEVRIERES;42140
CHIRASSIMONT;42114
CLEPPE;42110
CROIZET SUR GAND;42540
DOIZIEUX;42740
FIRMINY;42700
GREZIEUX LE FROMENTAL;42600
